path_0,0 13,13 16,16 33,33 9,9 19,19 35,35 41,41 6,6 31,31 23,23 4,4 27,27 1,1 36,36 10,10 37,37 49,49 44,44 22,22 12,12 47,47 24,24 2,2 26,26 45,45 42,42 28,28 21,21 18,18 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 38,38 40,40 20,20 48,48 32,32 8,8 43,43 39,39 14,14 34,34 5,0 209
path_1,0 41,41 35,35 13,13 16,16 33,33 9,9 19,19 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 6,6 34,34 27,27 4,4 23,23 10,10 37,37 36,36 1,1 5,5 31,31 28,28 40,40 20,20 38,38 48,48 32,32 8,8 45,45 26,26 2,2 42,42 14,14 12,12 22,22 49,49 44,44 47,47 24,24 43,43 39,0 801
path_2,0 41,41 35,35 13,13 16,16 33,33 9,9 19,19 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 6,6 34,34 27,27 4,4 23,23 10,10 37,37 36,36 1,1 5,5 31,31 28,28 40,40 20,20 48,48 32,32 8,8 43,43 39,39 38,38 42,42 14,14 26,26 2,2 45,45 24,24 47,47 12,12 22,22 49,49 44,0 801
path_3,0 41,41 35,35 13,13 16,16 33,33 9,9 19,19 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 28,28 40,40 20,20 48,48 32,32 8,8 43,43 39,39 38,38 42,42 14,14 45,45 26,26 2,2 22,22 49,49 44,44 4,4 23,23 10,10 37,37 36,36 1,1 5,5 31,31 6,6 34,34 27,27 12,12 47,47 24,0 801
path_4,0 41,41 35,35 13,13 16,16 33,33 9,9 19,19 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 28,28 40,40 20,20 48,48 32,32 8,8 43,43 39,39 38,38 42,42 14,14 45,45 26,26 2,2 22,22 12,12 47,47 24,24 49,49 44,44 4,4 23,23 10,10 37,37 36,36 1,1 5,5 31,31 6,6 34,34 27,0 801
path_5,0 41,41 35,35 13,13 16,16 33,33 9,9 19,19 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 28,28 40,40 20,20 48,48 32,32 8,8 43,43 39,39 38,38 42,42 14,14 45,45 26,26 2,2 22,22 12,12 47,47 24,24 49,49 44,44 23,23 4,4 27,27 34,34 6,6 31,31 1,1 5,5 36,36 37,37 10,0 801
path_6,0 41,41 35,35 13,13 16,16 33,33 9,9 19,19 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 28,28 40,40 20,20 48,48 32,32 8,8 43,43 39,39 38,38 42,42 14,14 45,45 26,26 2,2 22,22 12,12 49,49 44,44 23,23 4,4 27,27 34,34 6,6 31,31 1,1 5,5 36,36 37,37 10,10 47,47 24,0 33
path_7,0 41,41 35,35 13,13 16,16 33,33 9,9 19,19 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 28,28 40,40 20,20 48,48 32,32 8,8 43,43 39,39 38,38 42,42 14,14 45,45 26,26 2,2 22,22 12,12 49,49 44,44 23,23 4,4 27,27 34,34 6,6 31,31 1,1 5,5 36,36 37,37 10,10 47,47 24,140736884671840 1425
path_8,0 41,41 35,35 13,13 16,16 33,33 9,9 19,19 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 28,28 40,40 20,20 48,48 32,32 8,8 43,43 39,39 38,38 42,42 14,14 45,45 26,26 2,2 22,22 12,12 49,49 44,44 23,23 4,4 27,27 34,34 6,6 31,31 1,1 5,5 36,36 37,37 10,10 47,47 24,0 1041
path_9,0 41,41 35,35 13,13 16,16 33,33 9,9 19,19 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 28,28 40,40 20,20 48,48 32,32 8,8 43,43 39,39 38,38 42,42 14,14 45,45 26,26 2,2 22,22 12,12 49,49 44,44 23,23 4,4 27,27 34,34 6,6 31,31 1,1 5,5 36,36 37,37 10,10 47,47 24,0 801
path_10,0 41,41 35,35 13,13 16,16 33,33 9,9 19,19 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 28,28 40,40 20,20 48,48 32,32 8,8 43,43 39,39 38,38 42,42 14,14 45,45 26,26 2,2 22,22 12,12 49,49 44,44 23,23 4,4 27,27 34,34 6,6 31,31 1,1 5,5 36,36 37,37 10,10 47,47 24,0 801
