path_0,0 41,41 35,35 13,13 33,33 16,16 19,19 9,9 25,25 29,29 21,21 18,18 31,31 6,6 40,40 38,38 20,20 48,48 32,32 8,8 43,43 39,39 7,7 17,17 46,46 15,15 11,11 3,3 30,30 28,28 34,34 4,4 23,23 27,27 37,37 36,36 1,1 5,5 10,10 12,12 22,22 47,47 49,49 44,44 2,2 42,42 26,26 45,45 14,14 24,0 4113
path_1,0 41,41 35,35 13,13 16,16 33,33 9,9 19,19 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 6,6 34,34 4,4 23,23 27,27 10,10 37,37 36,36 1,1 5,5 31,31 28,28 38,38 20,20 48,48 32,32 8,8 39,39 43,43 14,14 45,45 26,26 2,2 44,44 49,49 12,12 22,22 47,47 24,24 42,42 40,0 129
path_2,0 41,41 35,35 13,13 16,16 33,33 9,9 19,19 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 6,6 34,34 4,4 23,23 27,27 10,10 37,37 36,36 1,1 5,5 31,31 44,44 49,49 12,12 22,22 47,47 24,24 2,2 26,26 45,45 42,42 38,38 20,20 48,48 32,32 8,8 39,39 43,43 40,40 28,28 14,0 129
path_3,0 41,41 35,35 13,13 16,16 33,33 9,9 19,19 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 6,6 34,34 4,4 23,23 27,27 31,31 1,1 5,5 36,36 37,37 10,10 44,44 49,49 12,12 22,22 47,47 24,24 2,2 26,26 45,45 42,42 38,38 20,20 48,48 32,32 8,8 39,39 43,43 40,40 28,28 14,0 801
path_4,0 41,41 35,35 13,13 16,16 33,33 9,9 19,19 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 6,6 34,34 4,4 23,23 27,27 31,31 1,1 5,5 36,36 37,37 10,10 44,44 49,49 12,12 22,22 47,47 24,24 2,2 26,26 45,45 42,42 14,14 38,38 20,20 48,48 32,32 8,8 39,39 43,43 40,40 28,0 801
path_5,0 41,41 35,35 13,13 16,16 33,33 9,9 19,19 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 6,6 34,34 4,4 23,23 27,27 31,31 1,1 5,5 36,36 37,37 10,10 44,44 49,49 12,12 22,22 47,47 24,24 2,2 26,26 45,45 42,42 14,14 38,38 20,20 48,48 32,32 43,43 39,39 8,8 40,40 28,0 97
path_6,0 41,41 35,35 13,13 16,16 33,33 9,9 19,19 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 6,6 34,34 4,4 23,23 27,27 31,31 1,1 5,5 36,36 37,37 10,10 44,44 49,49 12,12 22,22 47,47 24,24 2,2 26,26 45,45 42,42 14,14 38,38 20,20 48,48 32,32 43,43 39,39 8,8 40,40 28,0 801
path_7,0 41,41 35,35 13,13 16,16 33,33 9,9 19,19 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 6,6 34,34 4,4 23,23 27,27 31,31 1,1 5,5 36,36 37,37 10,10 44,44 49,49 12,12 22,22 47,47 24,24 2,2 26,26 45,45 42,42 14,14 38,38 20,20 48,48 32,32 43,43 39,39 8,8 40,40 28,0 801
path_8,0 41,41 35,35 13,13 16,16 33,33 9,9 19,19 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 6,6 34,34 4,4 23,23 27,27 31,31 1,1 5,5 36,36 37,37 10,10 44,44 49,49 12,12 22,22 47,47 24,24 2,2 26,26 45,45 42,42 14,14 38,38 20,20 48,48 32,32 39,39 43,43 8,8 40,40 28,0 449
path_9,0 41,41 35,35 13,13 16,16 33,33 9,9 19,19 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 6,6 34,34 4,4 23,23 27,27 31,31 1,1 5,5 36,36 37,37 10,10 44,44 49,49 12,12 22,22 47,47 24,24 2,2 26,26 45,45 42,42 14,14 38,38 20,20 48,48 32,32 8,8 40,40 28,28 43,43 39,0 801
path_10,0 41,41 35,35 13,13 16,16 33,33 9,9 19,19 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 6,6 34,34 4,4 23,23 27,27 31,31 1,1 5,5 36,36 37,37 10,10 44,44 49,49 12,12 22,22 47,47 24,24 2,2 26,26 45,45 42,42 14,14 38,38 20,20 48,48 32,32 8,8 40,40 28,28 43,43 39,0 801
