path_0,0 13,13 9,9 16,16 33,33 25,25 29,29 19,19 30,30 18,18 21,21 46,46 7,7 17,17 15,15 11,11 3,3 8,8 48,48 32,32 43,43 39,39 20,20 40,40 38,38 2,2 26,26 45,45 22,22 12,12 49,49 44,44 10,10 27,27 4,4 23,23 34,34 6,6 31,31 5,5 1,1 36,36 37,37 28,28 35,35 41,41 24,24 47,47 14,14 42
path_1,0 35,35 41,41 6,6 31,31 1,1 5,5 36,36 37,37 10,10 27,27 23,23 4,4 34,34 44,44 49,49 12,12 22,22 47,47 24,24 2,2 26,26 45,45 42,42 14,14 38,38 40,40 20,20 48,48 32,32 8,8 43,43 39,39 30,30 3,3 15,15 11,11 17,17 7,7 46,46 21,21 18,18 16,16 33,33 19,19 9,9 13,13 25,25 29,29 28
path_2,0 35,35 41,41 6,6 31,31 1,1 5,5 36,36 37,37 10,10 27,27 23,23 4,4 34,34 44,44 49,49 12,12 22,22 47,47 24,24 2,2 26,26 45,45 42,42 14,14 38,38 40,40 20,20 48,48 32,32 8,8 43,43 39,39 30,30 3,3 15,15 11,11 17,17 7,7 46,46 29,29 25,25 19,19 9,9 13,13 33,33 16,16 18,18 21,21 28
path_3,0 35,35 41,41 6,6 31,31 1,1 5,5 36,36 37,37 10,10 27,27 23,23 4,4 34,34 44,44 49,49 12,12 22,22 47,47 24,24 2,2 26,26 45,45 42,42 14,14 38,38 40,40 20,20 48,48 32,32 8,8 43,43 39,39 30,30 3,3 15,15 11,11 17,17 7,7 46,46 29,29 25,25 16,16 33,33 19,19 9,9 13,13 18,18 21,21 28
path_4,0 35,35 41,41 6,6 31,31 1,1 5,5 36,36 37,37 10,10 27,27 34,34 4,4 23,23 44,44 49,49 12,12 22,22 47,47 24,24 2,2 26,26 45,45 42,42 14,14 38,38 40,40 20,20 48,48 32,32 8,8 43,43 39,39 30,30 3,3 15,15 11,11 17,17 7,7 46,46 29,29 25,25 16,16 33,33 19,19 9,9 13,13 18,18 21,21 28
path_5,0 35,35 41,41 6,6 31,31 1,1 5,5 36,36 37,37 10,10 27,27 34,34 4,4 23,23 44,44 49,49 12,12 22,22 47,47 24,24 2,2 26,26 45,45 42,42 14,14 38,38 40,40 20,20 48,48 32,32 8,8 43,43 39,39 30,30 3,3 15,15 11,11 17,17 7,7 46,46 29,29 25,25 16,16 33,33 19,19 9,9 13,13 18,18 21,21 28
path_6,0 35,35 41,41 6,6 31,31 1,1 5,5 36,36 37,37 10,10 27,27 34,34 4,4 23,23 44,44 49,49 12,12 22,22 47,47 24,24 2,2 26,26 45,45 42,42 14,14 38,38 40,40 20,20 48,48 32,32 8,8 43,43 39,39 30,30 3,3 11,11 15,15 17,17 7,7 46,46 29,29 25,25 16,16 33,33 19,19 9,9 13,13 18,18 21,21 28
path_7,0 35,35 41,41 6,6 31,31 1,1 5,5 36,36 37,37 10,10 27,27 34,34 4,4 23,23 44,44 49,49 12,12 22,22 47,47 24,24 2,2 26,26 45,45 42,42 14,14 38,38 40,40 20,20 48,48 32,32 8,8 43,43 39,39 30,30 3,3 11,11 15,15 17,17 7,7 46,46 29,29 25,25 16,16 33,33 19,19 9,9 13,13 18,18 21,21 28
path_8,0 41,41 6,6 31,31 1,1 5,5 36,36 37,37 10,10 27,27 34,34 4,4 23,23 44,44 49,49 12,12 22,22 47,47 24,24 2,2 26,26 45,45 42,42 14,14 38,38 40,40 20,20 48,48 32,32 8,8 43,43 39,39 30,30 3,3 11,11 15,15 17,17 7,7 46,46 29,29 25,25 16,16 33,33 19,19 9,9 13,13 35,35 18,18 21,21 28
path_9,0 41,41 6,6 31,31 1,1 5,5 36,36 37,37 10,10 27,27 34,34 4,4 23,23 44,44 49,49 12,12 22,22 47,47 24,24 2,2 26,26 45,45 42,42 14,14 38,38 40,40 20,20 48,48 32,32 8,8 43,43 39,39 30,30 3,3 11,11 15,15 17,17 7,7 46,46 29,29 25,25 16,16 33,33 19,19 9,9 13,13 35,35 18,18 21,21 28
path_10,0 41,41 6,6 31,31 1,1 5,5 36,36 37,37 10,10 27,27 34,34 4,4 23,23 44,44 49,49 12,12 22,22 47,47 24,24 2,2 26,26 45,45 42,42 14,14 38,38 40,40 20,20 48,48 32,32 8,8 43,43 39,39 30,30 3,3 11,11 15,15 17,17 7,7 46,46 29,29 25,25 16,16 33,33 19,19 9,9 13,13 35,35 18,18 21,21 28
path_11,0 41,41 6,6 31,31 1,1 5,5 36,36 37,37 10,10 27,27 34,34 4,4 23,23 44,44 49,49 12,12 22,22 47,47 24,24 2,2 26,26 45,45 14,14 42,42 38,38 40,40 20,20 48,48 32,32 8,8 43,43 39,39 30,30 3,3 11,11 15,15 17,17 7,7 46,46 29,29 25,25 16,16 33,33 19,19 9,9 13,13 35,35 18,18 21,21 28
path_12,0 41,41 6,6 31,31 1,1 5,5 36,36 37,37 10,10 27,27 34,34 4,4 23,23 44,44 49,49 12,12 22,22 47,47 24,24 2,2 26,26 45,45 14,14 42,42 38,38 40,40 20,20 48,48 32,32 8,8 43,43 39,39 30,30 3,3 11,11 15,15 17,17 7,7 46,46 29,29 25,25 16,16 33,33 19,19 9,9 13,13 35,35 18,18 21,21 28
path_13,0 41,41 6,6 31,31 1,1 5,5 36,36 37,37 10,10 27,27 34,34 4,4 23,23 44,44 49,49 12,12 22,22 47,47 24,24 2,2 26,26 45,45 14,14 42,42 38,38 40,40 20,20 48,48 32,32 8,8 43,43 39,39 30,30 3,3 11,11 15,15 17,17 7,7 46,46 29,29 25,25 16,16 33,33 19,19 9,9 13,13 35,35 18,18 21,21 28
path_14,0 41,41 6,6 31,31 1,1 5,5 36,36 37,37 10,10 27,27 34,34 4,4 23,23 44,44 49,49 12,12 22,22 47,47 24,24 2,2 26,26 45,45 14,14 42,42 38,38 40,40 20,20 48,48 32,32 8,8 43,43 39,39 30,30 3,3 11,11 15,15 17,17 7,7 46,46 29,29 25,25 16,16 33,33 19,19 9,9 13,13 35,35 18,18 21,21 28
path_15,0 41,41 6,6 31,31 1,1 5,5 36,36 37,37 10,10 27,27 34,34 4,4 23,23 44,44 49,49 12,12 22,22 47,47 24,24 2,2 26,26 45,45 14,14 42,42 38,38 40,40 20,20 48,48 32,32 8,8 43,43 39,39 30,30 3,3 11,11 15,15 17,17 7,7 46,46 29,29 25,25 16,16 33,33 19,19 9,9 13,13 35,35 18,18 21,21 28
path_16,0 41,41 6,6 31,31 1,1 5,5 36,36 37,37 10,10 27,27 34,34 4,4 23,23 44,44 49,49 12,12 22,22 47,47 24,24 2,2 26,26 45,45 14,14 42,42 38,38 40,40 20,20 48,48 32,32 8,8 43,43 39,39 30,30 3,3 11,11 15,15 17,17 7,7 46,46 29,29 25,25 16,16 33,33 19,19 9,9 13,13 35,35 18,18 21,21 28
path_17,0 41,41 6,6 31,31 1,1 5,5 36,36 37,37 10,10 27,27 34,34 4,4 23,23 44,44 49,49 12,12 22,22 47,47 24,24 2,2 26,26 45,45 14,14 42,42 38,38 40,40 20,20 48,48 32,32 8,8 43,43 39,39 30,30 3,3 11,11 15,15 17,17 7,7 46,46 29,29 25,25 16,16 33,33 19,19 9,9 13,13 35,35 18,18 21,21 28
path_18,0 41,41 6,6 31,31 1,1 5,5 36,36 37,37 10,10 27,27 34,34 4,4 23,23 44,44 49,49 12,12 22,22 47,47 24,24 2,2 26,26 45,45 14,14 42,42 38,38 40,40 20,20 48,48 32,32 8,8 43,43 39,39 30,30 3,3 11,11 15,15 17,17 7,7 46,46 29,29 25,25 16,16 33,33 19,19 9,9 13,13 35,35 18,18 21,21 28
path_19,0 41,41 6,6 31,31 1,1 5,5 36,36 37,37 10,10 27,27 34,34 4,4 23,23 44,44 49,49 12,12 22,22 47,47 24,24 2,2 26,26 45,45 14,14 42,42 38,38 40,40 20,20 48,48 32,32 8,8 43,43 39,39 30,30 3,3 11,11 15,15 17,17 7,7 46,46 29,29 25,25 16,16 33,33 19,19 9,9 13,13 35,35 18,18 21,21 28
path_20,0 41,41 6,6 31,31 1,1 5,5 36,36 37,37 10,10 27,27 34,34 4,4 23,23 44,44 49,49 12,12 22,22 47,47 24,24 2,2 26,26 45,45 14,14 42,42 38,38 40,40 20,20 48,48 32,32 8,8 43,43 39,39 30,30 3,3 11,11 15,15 17,17 7,7 46,46 29,29 25,25 16,16 33,33 19,19 9,9 13,13 35,35 18,18 21,21 28
path_21,0 41,41 6,6 31,31 1,1 5,5 36,36 37,37 10,10 27,27 34,34 4,4 23,23 44,44 49,49 12,12 22,22 47,47 24,24 2,2 26,26 45,45 14,14 42,42 38,38 40,40 20,20 48,48 32,32 8,8 43,43 39,39 30,30 3,3 11,11 15,15 17,17 7,7 46,46 29,29 25,25 16,16 33,33 19,19 9,9 13,13 35,35 18,18 21,21 28
path_22,0 41,41 6,6 31,31 1,1 5,5 36,36 37,37 10,10 27,27 34,34 4,4 23,23 44,44 49,49 12,12 22,22 47,47 24,24 2,2 26,26 45,45 14,14 42,42 38,38 40,40 20,20 48,48 32,32 8,8 43,43 39,39 30,30 3,3 11,11 15,15 17,17 7,7 46,46 29,29 25,25 16,16 33,33 19,19 9,9 13,13 35,35 18,18 21,21 28
path_23,0 41,41 6,6 31,31 1,1 5,5 36,36 37,37 10,10 27,27 34,34 4,4 23,23 44,44 49,49 12,12 22,22 47,47 24,24 2,2 26,26 45,45 14,14 42,42 38,38 40,40 20,20 48,48 32,32 8,8 43,43 39,39 30,30 3,3 11,11 15,15 17,17 7,7 46,46 29,29 25,25 16,16 33,33 19,19 9,9 13,13 35,35 18,18 21,21 28
path_24,0 41,41 6,6 31,31 1,1 5,5 36,36 37,37 10,10 27,27 34,34 4,4 23,23 44,44 49,49 12,12 22,22 47,47 24,24 2,2 26,26 45,45 14,14 42,42 38,38 40,40 20,20 48,48 32,32 8,8 43,43 39,39 30,30 3,3 11,11 15,15 17,17 7,7 46,46 29,29 25,25 16,16 33,33 19,19 9,9 13,13 35,35 18,18 21,21 28
path_25,0 41,41 6,6 31,31 1,1 5,5 36,36 37,37 10,10 27,27 34,34 4,4 23,23 44,44 49,49 12,12 22,22 47,47 24,24 2,2 26,26 45,45 14,14 42,42 38,38 40,40 20,20 48,48 32,32 8,8 43,43 39,39 30,30 3,3 11,11 15,15 17,17 7,7 46,46 29,29 25,25 16,16 33,33 19,19 9,9 13,13 35,35 18,18 21,21 28
path_26,0 41,41 6,6 31,31 1,1 5,5 36,36 37,37 10,10 27,27 34,34 4,4 23,23 44,44 49,49 12,12 22,22 47,47 24,24 2,2 26,26 45,45 14,14 42,42 38,38 40,40 20,20 48,48 32,32 8,8 43,43 39,39 30,30 3,3 11,11 15,15 17,17 7,7 46,46 29,29 25,25 16,16 33,33 19,19 9,9 13,13 35,35 18,18 21,21 28
path_27,0 41,41 6,6 31,31 1,1 5,5 36,36 37,37 10,10 27,27 34,34 4,4 23,23 44,44 49,49 12,12 22,22 47,47 24,24 2,2 26,26 45,45 14,14 42,42 38,38 40,40 20,20 48,48 32,32 8,8 43,43 39,39 30,30 3,3 11,11 15,15 17,17 7,7 46,46 29,29 25,25 16,16 33,33 19,19 9,9 13,13 35,35 18,18 21,21 28
path_28,0 41,41 6,6 31,31 1,1 5,5 36,36 37,37 10,10 27,27 34,34 4,4 23,23 44,44 49,49 22,22 12,12 47,47 24,24 2,2 26,26 45,45 14,14 42,42 38,38 40,40 20,20 48,48 32,32 8,8 43,43 39,39 30,30 3,3 11,11 15,15 17,17 7,7 46,46 29,29 25,25 16,16 33,33 19,19 9,9 13,13 35,35 18,18 21,21 28
min_path,0 41,41 6,6 31,31 1,1 5,5 36,36 37,37 10,10 27,27 34,34 4,4 23,23 44,44 49,49 22,22 12,12 47,47 24,24 2,2 26,26 45,45 14,14 42,42 38,38 40,40 30,30 3,3 11,11 15,15 17,17 7,7 46,46 29,29 25,25 16,16 33,33 19,19 9,9 13,13 35,35 18,18 21,21 28,28 20,20 48,48 32,32 8,8 43,43 39
