path_0,0 41,41 35,35 6,6 31,31 34,34 27,27 4,4 23,23 10,10 49,49 12,12 22,22 47,47 44,44 2,2 26,26 45,45 42,42 32,32 48,48 20,20 38,38 40,40 28,28 21,21 18,18 17,17 46,46 7,7 15,15 11,11 3,3 30,30 1,1 36,36 5,5 37,37 24,24 14,14 25,25 29,29 16,16 13,13 9,9 33,33 19,19 8,8 43,43 39,39 0
path_1,0 41,41 35,35 13,13 9,9 33,33 16,16 25,25 29,29 18,18 21,21 7,7 46,46 17,17 15,15 30,30 3,3 11,11 43,43 39,39 40,40 20,20 48,48 32,32 8,8 38,38 42,42 14,14 45,45 26,26 2,2 22,22 12,12 49,49 44,44 23,23 4,4 27,27 10,10 37,37 36,36 1,1 5,5 31,31 6,6 34,34 28,28 47,47 24,24 19,19 0
path_2,0 41,41 35,35 9,9 33,33 16,16 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 6,6 34,34 27,27 23,23 4,4 44,44 49,49 12,12 22,22 47,47 24,24 2,2 26,26 45,45 42,42 14,14 38,38 40,40 20,20 48,48 32,32 8,8 43,43 39,39 28,28 10,10 37,37 36,36 1,1 5,5 31,31 13,13 19,19 0
path_3,0 41,41 35,35 13,13 9,9 19,19 33,33 16,16 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 6,6 34,34 27,27 4,4 23,23 10,10 37,37 36,36 1,1 5,5 31,31 28,28 40,40 20,20 48,48 32,32 8,8 43,43 39,39 38,38 42,42 45,45 26,26 2,2 22,22 12,12 49,49 44,44 47,47 24,24 14,14 0
path_4,0 13,13 9,9 19,19 33,33 16,16 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 38,38 20,20 48,48 32,32 8,8 43,43 39,39 40,40 28,28 34,34 27,27 4,4 23,23 44,44 49,49 12,12 22,22 47,47 24,24 14,14 42,42 26,26 45,45 2,2 10,10 37,37 36,36 5,5 1,1 31,31 41,41 35,35 6,6 0
path_5,0 41,41 35,35 13,13 16,16 33,33 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 40,40 20,20 48,48 32,32 8,8 43,43 39,39 38,38 42,42 45,45 26,26 2,2 12,12 22,22 49,49 44,44 23,23 4,4 27,27 34,34 6,6 31,31 1,1 36,36 5,5 37,37 10,10 47,47 24,24 14,14 28,28 21,21 18,18 9,9 19,19 0
path_6,0 13,13 9,9 19,19 33,33 16,16 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 35,35 41,41 6,6 34,34 27,27 4,4 23,23 44,44 49,49 12,12 22,22 47,47 24,24 2,2 26,26 45,45 42,42 14,14 38,38 20,20 48,48 32,32 8,8 43,43 39,39 28,28 40,40 36,36 1,1 5,5 31,31 37,37 10,10 0
path_7,0 41,41 35,35 13,13 9,9 19,19 33,33 16,16 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 6,6 34,34 27,27 4,4 23,23 10,10 37,37 36,36 1,1 5,5 31,31 28,28 40,40 38,38 20,20 48,48 32,32 8,8 43,43 39,39 14,14 42,42 45,45 26,26 2,2 22,22 12,12 49,49 44,44 47,47 24,24 0
path_8,0 13,13 9,9 19,19 33,33 16,16 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 35,35 41,41 6,6 34,34 28,28 40,40 38,38 20,20 48,48 32,32 8,8 43,43 39,39 42,42 14,14 45,45 26,26 2,2 22,22 12,12 49,49 44,44 23,23 4,4 27,27 10,10 47,47 24,24 37,37 36,36 1,1 5,5 31,31 0
path_9,0 41,41 35,35 13,13 9,9 19,19 33,33 16,16 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 6,6 34,34 27,27 4,4 23,23 10,10 37,37 36,36 1,1 5,5 31,31 28,28 40,40 20,20 48,48 32,32 8,8 43,43 39,39 38,38 42,42 14,14 45,45 26,26 2,2 22,22 12,12 49,49 44,44 47,47 24,24 0
path_10,0 41,41 35,35 13,13 9,9 19,19 33,33 16,16 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 6,6 31,31 1,1 5,5 36,36 37,37 10,10 27,27 23,23 4,4 44,44 49,49 12,12 22,22 47,47 24,24 2,2 26,26 45,45 42,42 14,14 38,38 20,20 48,48 32,32 8,8 43,43 39,39 40,40 28,28 34,34 0
