path_0,0 3,3 1,1 9,9 10,10 14,14 6,6 2,2 5,5 7,7 12,12 8,8 4,4 13,13 11,0 241
path_1,0 3,3 2,2 6,6 14,14 5,5 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 33
path_2,0 3,3 2,2 6,6 14,14 10,10 9,9 1,1 11,11 13,13 4,4 8,8 12,12 7,7 5,0 33
path_3,0 3,3 2,2 6,6 14,14 7,7 5,5 10,10 9,9 1,1 11,11 13,13 4,4 8,8 12,0 241
path_4,0 3,3 2,2 6,6 14,14 7,7 8,8 12,12 4,4 13,13 11,11 9,9 1,1 10,10 5,0 241
path_5,0 3,3 2,2 6,6 14,14 5,5 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 241
path_6,0 3,3 2,2 6,6 14,14 7,7 5,5 10,10 9,9 1,1 11,11 13,13 4,4 8,8 12,0 241
path_7,0 3,3 2,2 6,6 14,14 7,7 5,5 8,8 12,12 4,4 13,13 11,11 9,9 1,1 10,0 401
path_8,0 3,3 2,2 6,6 14,14 5,5 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 241
path_9,0 3,3 2,2 6,6 14,14 7,7 8,8 12,12 4,4 13,13 11,11 9,9 1,1 10,10 5,0 241
path_10,0 3,3 2,2 6,6 14,14 5,5 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 241
path_11,0 3,3 2,2 6,6 14,14 7,7 5,5 8,8 12,12 4,4 13,13 11,11 9,9 1,1 10,0 241
path_12,0 3,3 2,2 6,6 14,14 7,7 5,5 10,10 9,9 1,1 11,11 13,13 4,4 8,8 12,0 241
path_13,0 3,3 2,2 6,6 14,14 5,5 7,7 8,8 12,12 4,4 13,13 11,11 9,9 1,1 10,0 241
path_14,0 3,3 2,2 6,6 14,14 5,5 7,7 8,8 12,12 4,4 13,13 11,11 9,9 1,1 10,0 241
path_15,0 3,3 2,2 6,6 14,14 5,5 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 241
path_16,0 3,3 2,2 6,6 14,14 5,5 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 241
path_17,0 3,3 2,2 6,6 14,14 5,5 7,7 8,8 12,12 4,4 13,13 11,11 9,9 1,1 10,0 241
path_18,0 3,3 2,2 6,6 14,14 5,5 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 241
path_19,0 3,3 2,2 6,6 14,14 5,5 7,7 8,8 12,12 4,4 13,13 11,11 9,9 1,1 10,0 241
path_20,0 3,3 2,2 6,6 14,14 5,5 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 241
path_21,0 3,3 2,2 6,6 14,14 5,5 7,7 8,8 12,12 4,4 13,13 11,11 9,9 1,1 10,0 241
path_22,0 3,3 2,2 6,6 14,14 5,5 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 241
path_23,0 3,3 2,2 6,6 14,14 5,5 7,7 8,8 12,12 4,4 13,13 11,11 9,9 1,1 10,0 241
path_24,0 3,3 2,2 6,6 14,14 5,5 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 241
path_25,0 3,3 2,2 6,6 14,14 5,5 7,7 8,8 12,12 4,4 13,13 11,11 9,9 1,1 10,0 241
path_26,0 3,3 2,2 6,6 14,14 5,5 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 241
path_27,0 3,3 2,2 6,6 14,14 5,5 7,7 8,8 12,12 4,4 13,13 11,11 9,9 1,1 10,0 241
path_28,0 3,3 2,2 6,6 14,14 5,5 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 241
path_29,0 3,3 2,2 6,6 14,14 5,5 7,7 8,8 12,12 4,4 13,13 11,11 9,9 1,1 10,0 241
path_30,0 3,3 2,2 6,6 14,14 5,5 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 241
path_31,0 3,3 2,2 6,6 14,14 5,5 7,7 8,8 12,12 4,4 13,13 11,11 9,9 1,1 10,0 545
path_32,0 3,3 2,2 6,6 14,14 5,5 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 241
path_33,0 3,3 2,2 6,6 14,14 5,5 7,7 8,8 12,12 4,4 13,13 11,11 9,9 1,1 10,0 241
path_34,0 3,3 2,2 6,6 14,14 5,5 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 241
path_35,0 3,3 2,2 6,6 14,14 5,5 7,7 8,8 12,12 4,4 13,13 11,11 9,9 1,1 10,0 241
path_36,0 3,3 2,2 6,6 14,14 5,5 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 241
path_37,0 3,3 2,2 6,6 14,14 5,5 7,7 8,8 12,12 4,4 13,13 11,11 9,9 1,1 10,0 241
min_path,0 3,3 2,2 5,5 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 65
